"","gyeongsang","seoul"
"816","콩나물 국밥에 꼭","콩나물 국밥에 꼭"
"817","꼭 거기가 오징어 사리를 넣어주거든요 오징어 사리를 넣어주는데 음~ 꼭","꼭 거기가 오징어 사리를 넣어주거든요 오징어 사리를 넣어주는데 음~ 꼭"
"818","근데 보통 넣어주는 게 아니고 추가를 해야 돼요 추가를 해야 돼서","근데 보통 넣어주는 게 아니고 추가를 해야 돼요 추가를 해야 돼서"
"819","그거 한 그릇 먹고 오면 전주 여행했다는 그런 느낌이 드실 것 같애요.","그거 한 그릇 먹고 오면 전주 여행했다는 그런 느낌이 드실 것 같애요."
"820","그러면 저희가 살고 있는","그러면 저희가 살고 있는"
"821","대구는 어떤 거 어떤 테마로 여행 홍보를 하면 좋을까요?","대구는 어떤 거 어떤 테마로 여행 홍보를 하면 좋을까요?"
"822","저는 솔직히","저는 솔직히"
"823","만약에 다른 군대 후 동기든 아니면 다른 지역에 사는 친구든","만약에 다른 군대 후 동기든 아니면 다른 지역에 사는 친구든"
"824","대구 온다고 하면은 딱히 진 시민으로서 정말 추천할 게 없거든요.","대구 온다고 하면은 딱히 진 시민으로서 정말 추천할 게 없거든요."
"825","다른 도시들에 비해서 저는 대구가 특색이 좀 없다고 생각해요.","다른 도시들에 비해서 저는 대구가 특색이 좀 없다고 생각해요."
"826","그래서 이거는","그래서 이거는"
"827","홍보 문제도 아니고 그냥 단순히 진짜 대구에 뭐가 요소가 없다 정도라서","홍보 문제도 아니고 그냥 단순히 진짜 대구에 뭐가 요소가 없다 정도라서"
"828","굳이 홍보를 하자고 하면 -진- 진짜","굳이 홍보를 하자고 하면 -진- 진짜"
"829","지금 물론 하고 있겠지만 요 근처에 요 근처에 그나마 근대화된 게 좀 있잖아요?","지금 물론 하고 있겠지만 요 근처에 요 근처에 그나마 근대화된 게 좀 있잖아요?"
"830","근대화된 것들이나 아니면은","근대화된 것들이나 아니면은"
"831","서문 시장 정도?","서문 시장 정도?"
"832","그거 밖에 없을 것 같애요 저는","그거 밖에 없을 것 같애요 저는"
"833","이게 좀 아쉬워요 제 저는 대구 좋아하거든요 대구 대구에서 계속 나고 자랐는데 대구 좋아하는데","이게 좀 아쉬워요 제 저는 대구 좋아하거든요 대구 대구에서 계속 나고 자랐는데 대구 좋아하는데"
"834","야 내 이번에 대구 놀러가는데 추천할 곳 좀 추천해 줘","야 나 이번에 대구 놀러가는데 추천할 곳 좀 추천해 줘"
"835","없어요.","없어요."
"836","딱히 얘기해 줄 게 없어요 진짜","딱히 얘기해 줄 게 없어요 진짜"
"837","친구들이 막 여 온다고 하면","친구들이 막 여기 온다고 하면"
"838","그냥 와서 얼굴이나 보고 술이나 먹자 이거 이게 끝이지","그냥 와서 얼굴이나 보고 술이나 먹자 이거 이게 끝이지"
"839","딱히 가서 막 보고 먹어라 이거를 할 수가 없어요.","딱히 가서 막 보고 먹어라 이거를 할 수가 없어요."
"840","그래서 그게 좀 아쉽다고 생각해요 저는","그래서 그게 좀 아쉽다고 생각해요 저는"
"841","그러면 반대로 대구에서 굳이 홍보해주고 싶은 게 있으신가요?","그러면 반대로 대구에서 굳이 홍보해주고 싶은 게 있으신가요?"
"842","팔공산이요.","팔공산이요."
"843","팔공산이요?","팔공산이요?"
"844","어~ 케이블카 타면","어~ 케이블카 타면"
"845","단풍 좋을 때 타면 정말 아름답고요.","단풍 좋을 때 타면 정말 아름답고요."
"846","그리고","그리고"
"847","저희 또래 젊은 친구들이 오면 삼덕동이나 음~","저희 또래 젊은 친구들이 오면 삼덕동이나 음~"
"848","삼덕동 그~ 교동 그런 쪽에 요즘 새로운 가게가 많이 생겼어요.","삼덕동 그~ 교동 그런 쪽에 요즘 새로운 가게가 많이 생겼어요."
"849","많이 생겨서 젊은 분들이 운영하시는 가게인데 요즘 말로 소위","많이 생겨서 젊은 분들이 운영하시는 가게인데 요즘 말로 소위"
"850","힙하다?","힙하다?"
"851","라고 하는 가게들이죠 기 가게들인데","라고 하는 가게들이죠 기 가게들인데"
"852","거기 가게에서 뭐","거기 가게에서 뭐"
"853","밥을 먹던 술을 먹던 하다 보면은 아~ 이게 근데 대구만의 바이브구나 아~ 대구 서울이랑은 또 다르네?","밥을 먹든 술을 먹든 하다 보면은 아~ 이게 근데 대구만의 바이브구나 아~ 대구 서울이랑은 또 다르네?"
"854","그런 느낌을 친구들이 받아서 그런 쪽으로 가게를 많이 데리고 가는 것 같애요.","그런 느낌을 친구들이 받아서 그런 쪽으로 가게를 많이 데리고 가는 것 같애요."
"855","많이 데리고 가고","많이 데리고 가고"
"856","참 저도 생각을 해보니까","참 저도 생각을 해보니까"
"857","대구가 뭐 부산은 예를 들면 바다가 있는 곳이고","대구가 뭐 부산은 예를 들면 바다가 있는 곳이고"
"858","뭐 서울이야 수도고","뭐 서울이야 수도고"
"859","그런 곳인데 대구가 좀 애매한 위치에 있는 것 같긴 해요 애매한 위치가 -있- 있는 것 같긴 해서","그런 곳인데 대구가 좀 애매한 위치에 있는 것 같긴 해요 애매한 위치가 -있- 있는 것 같긴 해서"
"860","그러면 그~ 저희가","그러면 그~ 저희가"
"861","대구 여행을","대구 여행을"
"862","그러면 친구들이 온다 했을 때","그러면 친구들이 온다 했을 때"
"863","극구 만류를 해야 될까요 아니면 그냥 이렇게","극구 만류를 해야 될까요 아니면 그냥 이렇게"
"864","조금 조금 데리고 다니고 그러면서 만족을 해야 될까요?","조금 조금 데리고 다니고 그러면서 만족을 해야 될까요?"
"865","한 번도 오신 분이 아 그니까 한 번도 방문을 한 적이 없으면은","한 번도 오신 분이 아 그니까 한 번도 방문을 한 적이 없으면은"
"866","경험 삼아 방문하는 것도 괜찮은데","경험 삼아 방문하는 것도 괜찮은데"
"867","그 경험이 점점 타고 타고 흘러가면 와전이 돼서 아~ 대구 별로인데 라고 말이 나올 것 같애서 저는 그게 걱정인 거고","그 경험이 점점 타고 타고 흘러가면 와전이 돼서 아~ 대구 별로인데 라고 말이 나올 것 같애서 저는 그게 걱정인 거고"
"868","(()) 보는 맛이나 이런 거를 조금 만들면 좋을 것 같아요.","(()) 보는 맛이나 이런 거를 조금 만들면 좋을 것 같아요."
"869","제가 최근에 유튜브 본 것 중에서","제가 최근에 유튜브 본 것 중에서"
"870","&company-name5&가","&company-name5&가"
"871","한국을 소개하는 영상 뮤비 같은 걸 찍은 거를 외국인한테 공개를 하는 영상이 있어요.","한국을 소개하는 영상 뮤비 같은 걸 찍은 거를 외국인한테 공개를 하는 영상이 있어요."
"872","그~ 힙합이랑 트로트랑 (()) 하는 건데 보셨는지 모르겠지만","그~ 힙합이랑 트로트랑 (()) 하는 건데 보셨는지 모르겠지만"
"873","거기서 인제 앵간한 도시들이 다 나오는데 막 안동 부산","거기서 인제 어지간한 도시들이 다 나오는데 막 안동 부산"
"874","뭐 전주 목포","뭐 전주 목포"
"875","저 목포나 이런 것들은 다 (()) 것들이 다 규모가 저희 도보다","저 목포나 이런 것들은 다 (()) 것들이 다 규모가 저희 도보다"
"876","부산은 크지만 규모가 저희보다 대구보다 작더라도","부산은 크지만 규모가 저희보다 대구보다 작더라도"
"877","영상은 뽑아낼 정도로","영상은 뽑아낼 정도로"
"878","되게 외국인들한테 소개해줄 영 큰 소개 거리가 많은데","되게 외국인들한테 소개해줄 영 큰 소개 거리가 많은데"
"879","대구는 없거든요 진짜","대구는 없거든요 진짜"
"880","그래서 그게 좀 아쉽다고 생각해요 저는 계속","그래서 그게 좀 아쉽다고 생각해요 저는 계속"
"881","지금 코로나 때문에 여행 못 가잖아.","지금 코로나 때문에 여행 못 가잖아."
"882","나는 항상 언니랑 여행 가까운 데 아시아 지역으로 좀 많이 다녔었는데","나는 항상 언니랑 여행 가까운 데 아시아 지역으로 좀 많이 다녔었는데"
"883","지금도","지금도"
"884","막 너무 여행 가고 싶어.","막 너무 여행 가고 싶어."
"885","근데 일본에 가가지고 지금","근데 일본에 가가지고 지금"
"886","음~ &company-name1& 제일 먹고 싶어.","음~ &company-name1& 제일 먹고 싶어."
"887","일본에 가서 먹어봤어?","일본에 가서 먹어봤어?"
"888","아니 나는 일본 여행 한 번도 못 가봤어.","아니 나는 일본 여행 한 번도 못 가봤어."
"889","그래서","그래서"
"890","진짜 니가 일본을 왔 많이 갔다 왔잖아","진짜 니가 일본을 왔 많이 갔다 왔잖아"
"891","그래서 그때마다 -이- 이거 맛있었고 라면 맛있었고 함바그 맛있었고 이럴 때마다 되게 궁금했는데","그래서 그때마다 -이- 이거 맛있었고 라면 맛있었고 함바그 맛있었고 이럴 때마다 되게 궁금했는데"
"892","올해 한번 가볼까 싶었는데 코로나 터져서 {laughing}","올해 한번 가볼까 싶었는데 코로나 터져서 {laughing}"
"893","좀 한동안은 한 내년까지도 아마 못 갈 것 같기도 하고?","좀 한동안은 한 내년까지도 아마 못 갈 것 같기도 하고?"
"894","진짜 궁금하긴 해 특히 인제 니가","진짜 궁금하긴 해 특히 인제 니가"
"895","거진 전문가처럼","거의 전문가처럼"
"896","잘 아니까 니랑도 한번 가보고 싶고","잘 아니까 니랑도 한번 가보고 싶고"
"897","좀 아쉽네.","좀 아쉽네."
"898","가고 싶어.","가고 싶어."
"899","음~ 그러면은 니가 또 따른 나라도 여기저기 가봤잖아.","음~ 그러면은 니가 또 다른 나라도 여기저기 가봤잖아."
"900","그중에서 인제 제일 좋았던","그중에서 인제 제일 좋았던"
"901","다시 가고 싶다 이랬던 곳이 일본이야?","다시 가고 싶다 이랬던 곳이 일본이야?"
"902","그래도 일본어를 조금 할 줄 아니까 의사소통이 되니까","그래도 일본어를 조금 할 줄 아니까 의사소통이 되니까"
"903","더 뭔가","더 뭔가"
"904","힘들지가 않았던 것 같애.","힘들지가 않았던 것 같애."
"905","그래서 더 재밌게 느껴졌을 수도 있고","그래서 더 재밌게 느껴졌을 수도 있고"
"906","그리고 가깝고 비행하는 시간이","그리고 가깝고 비행하는 시간이"
"907","많이 걸리지 않으니까 덜 힘들고 이래서","많이 걸리지 않으니까 덜 힘들고 이래서"
"908","재밌었던 것 같고","재밌었던 것 같고"
"909","우리랑 좀 약간 뭔가","우리랑 좀 약간 뭔가"
"910","문화가 비슷한 게 많아서","문화가 비슷한 게 많아서"
"911","막 그렇게 낯설고 막 그렇지 않아서","막 그렇게 낯설고 막 그렇지 않아서"
"912","좋았던 것 같은데 난 홍콩도 좋았어.","좋았던 것 같은데 난 홍콩도 좋았어."
"913","홍콩 갔을 때도","홍콩 갔을 때도"
"914","음~ 사람들도 다 친절하고","음~ 사람들도 다 친절하고"
"915","또 그런 향신료에 대한 거부감이 없다 보니까 음식들도 다 맛있고","또 그런 향신료에 대한 거부감이 없다 보니까 음식들도 다 맛있고"
"916","그리고 더위 마이 타는데 좋았던 거는","그리고 더위 많이 타는데 좋았던 거는"
"917","에어컨 빵빵하게 어딜 가든지 나오고 겨울에 갔는데도 얼음물 준 거","에어컨 빵빵하게 어디를 가든지 나오고 겨울에 갔는데도 얼음물 준 거"
"918","그게 너무 좋았던 것 같애.","그게 너무 좋았던 것 같애."
"919","음~ 나는 유럽 여행을 안 가보고 프랑스만 가봤는데 유럽 여행 갔었잖아.","음~ 나는 유럽 여행을 안 가보고 프랑스만 가봤는데 유럽 여행 갔었잖아."
"920","어디가 제일 좋았었어?","어디가 제일 좋았었어?"
"921","나는 개인적으로","나는 개인적으로"
"922","체코","체코"
"923","체코 프라하.","체코 프라하."
"924","어~ 따른 데보다도 인제","어~ 다른 데보다도 인제"
"925","음~ 중국인이 많이 없어서?","음~ 중국인이 많이 없어서?"
"926","약간 아시아인에 대한 좀","약간 아시아인에 대한 좀"
"927","뭐라 해야 되지?","뭐라 해야 되지?"
"928","현지인들의 -적- 적대감?","현지인들의 -적- 적대감?"
"929","그런 게 따른 데보다 좀 적었어서","그런 게 다른 데보다 좀 적었어서"
"930","인종 차별 이런 거에 대한 스트레스가 훨씬 줄었고","인종 차별 이런 거에 대한 스트레스가 훨씬 줄었고"
"931","거리 다닐 때 이럴 때?","거리 다닐 때 이럴 때?"
"932","그리고 따른 유럽 지역보다도","그리고 다른 유럽 지역보다도"
"933","좀 밤에 안전하게 다닐 수 있는 비교적?","좀 밤에 안전하게 다닐 수 있는 비교적?"
"934","그래서 거기 그것도 되게 좋았고","그래서 거기 그것도 되게 좋았고"
"935","음~ 어딜 가든","음~ 어디를 가든"
"936","그~ 보 어~ 유럽인들이","그~ 보 어~ 유럽인들이"
"937","동양인들한테 그렇게 친절한 경우는 많이 못 봤는데 거기는 인제 대부분","동양인들한테 그렇게 친절한 경우는 많이 못 봤는데 거기는 인제 대부분"
"938","좀 칠절하게 대해주셨던 것 같애.","좀 칠절하게 대해주셨던 것 같애."
"939","그래서 좀 더 기억이 좋게 남았고","그래서 좀 더 기억이 좋게 남았고"
"940","또 거기서 가이드 투어를 했는데","또 거기서 가이드 투어를 했는데"
"941","(()) 딱 정해진 금액이 없고","(()) 딱 정해진 금액이 없고"
"942","처음에는 인제 무료 투어로 시작해가지고","처음에는 인제 무료 투어로 시작해가지고"
"943","마지막에 인제 원하시면은","마지막에 인제 원하시면은"
"944","어~ 원하는 만큼만 돈을 내셔도 되고 안 내셔도 된다 이런","어~ 원하는 만큼만 돈을 내셔도 되고 안 내셔도 된다 이런"
"945","투어였는데","투어였는데"
"946","그 투어가 생각지 못하게 너무 좋았어.","그 투어가 생각지 못하게 너무 좋았어."
"947","배워 가는 것도 진짜 많았고","배워 가는 것도 진짜 많았고"
"948","그 투어 없었으면은 인제 프라하를 쪼끔","그 투어 없었으면은 인제 프라하를 쪼끔"
"949","덜 쫍게 봤던 것 같 봤을 것 같애.","덜 좁게 봤던 것 같 봤을 것 같애."
"950","다니시면 다니면서 인제 가이드님이","다니시면 다니면서 인제 가이드님이"
"951","거기서 팔 년간 살으셨대.","거기서 팔 년간 살으셨대."
"952","게서","그래서"
"953","그냥 생활 정보 같은 것도 다 얘기해 주시고","그냥 생활 정보 같은 것도 다 얘기해 주시고"
"954","역사적인 얘기들도 다 해주시고","역사적인 얘기들도 다 해주시고"
"955","그래서","그래서"
"956","혹시 인제 주변에 프라하 여행간다면은 인제","혹시 인제 주변에 프라하 여행간다면은 인제"
"957","그거를 꼭 추천해서 한번 들어보라고 하고 싶을 정도로?","그거를 꼭 추천해서 한번 들어보라고 하고 싶을 정도로?"
"958","되게 만족스러웠고","되게 만족스러웠고"
"959","특히 인제 프라하는","특히 인제 프라하는"
"960","딱 어~ 가족들이랑도 같이 오고 싶다?","딱 어~ 가족들이랑도 같이 오고 싶다?"
"961","이런 느낌이 강했던 게","이런 느낌이 강했던 게"
"962","좀 거리도 좀 깨끗했고","좀 거리도 좀 깨끗했고"
"963","비교적","비교적"
"964","그리고 음식도","그리고 음식도"
"965","이게 내륙 지방이고 이래서 그런지 고기 종류가 되게 다양하게 나오는 거야.","이게 내륙 지방이고 이래서 그런지 고기 종류가 되게 다양하게 나오는 거야."
"966","그리고 저렴했고","그리고 저렴했고"
"967","게서","그래서"
"968","그~ 약간 한국식의 한국 음식으로는 족발?","그~ 약간 한국식의 한국 음식으로는 족발?"
"969","같은 거 구운 족발 같은 것도 되게 맛있게 먹고","같은 거 구운 족발 같은 것도 되게 맛있게 먹고"
"970","토끼 고기를 거기서 처음 먹어봤는데","토끼 고기를 거기서 처음 먹어봤는데"
"971","근데 나도 되게","근데 나도 되게"
"972","선입견을 가졌단 말이야 토끼 고기?","선입견을 가졌단 말이야 토끼 고기?"
"973","근데 거기 직원분이 여기 전통 음식이라고","근데 거기 직원분이 여기 전통 음식이라고"
"974","너무 추천을 해주시는 거야.","너무 추천을 해주시는 거야."
"975","그래서 먹었는데 그냥","그래서 먹었는데 그냥"
"976","모양새도 닭고기 같고","모양새도 닭고기 같고"
"977","짝은 닭 있잖아 한 구 호 정도 되는?","작은 닭 있잖아 한 구 호 정도 되는?"
"978","그거에 약간 칠리 소스 이런 게 발려져 있어서","그거에 약간 칠리 소스 이런 게 발려져 있어서"
"979","(()) 한국 음식 먹는 느낌이었어 되게 근데","(()) 한국 음식 먹는 느낌이었어 되게 근데"
"980","부담감 없이 맛있게 먹었던 것 같애.","부담감 없이 맛있게 먹었던 것 같애."
"981","혹시 뭐 다음 번에 여행 가고 싶은 새로운 여행지 이런 데 있어?","혹시 뭐 다음 번에 여행 가고 싶은 새로운 여행지 이런 데 있어?"
"982","나는 스페인","나는 스페인"
"983","그~ 걸어서 현장 속으로 책 샀다 그랬잖아.","그~ 걸어서 현장 속으로 책 샀다 그랬잖아."
"984","그거 보니까 거기서 이제","그거 보니까 거기서 이제"
"985","작가분이 엄마 아빠 데리고 같이","작가분이 엄마 아빠 데리고 같이"
"986","이제 스페인으로 여행 갔다 왔는데","이제 스페인으로 여행 갔다 왔는데"
"987","너무","너무"
"988","약간 재밌을 것 같애 그분이 약간 스페인을 혼자","약간 재밌을 것 같애 그분이 약간 스페인을 혼자"
"989","한 열 번 넘게?","한 열 번 넘게?"
"990","막 이렇게 뭐 여행하셨다 그랬나 뭐 되게 아","막 이렇게 뭐 여행하셨다 그랬나 뭐 되게 아"
"991","열 번까지 안 됐나 아무튼 여러 번 혼자","열 번까지 안 됐나 아무튼 여러 번 혼자"
"992","가기도 했고 뭐","가기도 했고 뭐"
"993","언니도","언니도"
"994","여러 번 가기도 했고 그래가지고","여러 번 가기도 했고 그래가지고"
"995","(()) 부모님은 한 번도 안 가보셔가지고 자기가 어느 정도 쫌 잘 아니까 데리고","(()) 부모님은 한 번도 안 가보셔가지고 자기가 어느 정도 조금 잘 아니까 데리고"
"996","가면 재밌겠다.","가면 재밌겠다."
"997","해가지고 데리고 갔는데 자기가 혼자 갔을 때랑 다르게 뭔가 변수가 많아서","해가지고 데리고 갔는데 자기가 혼자 갔을 때랑 다르게 뭔가 변수가 많아서"
"998","힘들었던 상황도 많고 한데 되게 부모님이랑 가면은","힘들었던 상황도 많고 한데 되게 부모님이랑 가면은"
"999","좋을 여행지?","좋을 여행지?"
"1000","같은 것도","같은 것도"
"1001","어~ 자세하게 적혀 있고 또","어~ 자세하게 적혀 있고 또"
"1002","뭔가 제일 기억 남는 거는","뭔가 제일 기억 남는 거는"
"1003","스페인은 오렌지 많이 나는데 거기가서 환타 사 먹었는데 환타 맛이 달랐다.","스페인은 오렌지 많이 나는데 거기가서 환타 사 먹었는데 환타 맛이 달랐다."
"1004","(()) 그래가지고 꼭 가가지고","(()) 그래가지고 꼭 가가지고"
"1005","사 먹어 보고 싶고 그리고 기회 되면","사 먹어 보고 싶고 그리고 기회 되면"
"1006","부모님이랑 같이 가보고 싶어 그분이 책에 쓰기를 여행지도 잘 소개해 주시는데","부모님이랑 같이 가보고 싶어 그분이 책에 쓰기를 여행지도 잘 소개해 주시는데"
"1007","어~ 부모님이랑 여행 가서","어~ 부모님이랑 여행 가서"
"1008","약간 힘들 때","약간 힘들 때"
"1009","어떻게 대처해야 되는지 부모님이 힘들어하실 때 어떻게 뭐 반응해주고 빨리 대처하고 이래야 되는지","어떻게 대처해야 되는지 부모님이 힘들어하실 때 어떻게 뭐 반응해주고 빨리 대처하고 이래야 되는지"
"1010","그런 것도 잘 적혀있어서 뭔가","그런 것도 잘 적혀있어서 뭔가"
"1011","도움이 많이 되지 않을까 부모님이랑 여행","도움이 많이 되지 않을까 부모님이랑 여행"
"1012","갈 때 보면","갈 때 보면"
"1013","되지 않을까 하고 그래서 그 책 보고 약간","되지 않을까 하고 그래서 그 책 보고 약간"
"1014","스페인을 제일 먼저 가고 싶고","스페인을 제일 먼저 가고 싶고"
"1015","또","또"
"1016","나는 도시 쪽을 좋아해서","나는 도시 쪽을 좋아해서"
"1017","뭔가 휴양지로 유명한 나라는 안","뭔가 휴양지로 유명한 나라는 안"
"1018","한 번도 안 가봤던 것 같애.","한 번도 안 가봤던 것 같애."
"1019","그래서","그래서"
"1020","뭔가 친구가 갔다 와봐서","뭔가 친구가 갔다 와봐서"
"1021","뭐 휴양지로 유명한 나라","뭐 휴양지로 유명한 나라"
"1022","그런 데 갔다 와서 좋았다고 하니까 그런 대표적인 나라도","그런 데 갔다 와서 좋았다고 하니까 그런 대표적인 나라도"
"1023","한 군데는 가보고 싶고","한 군데는 가보고 싶고"
"1024","그래.","그래."
"1025","그~ 프랑스 갔을 때","그~ 프랑스 갔을 때"
"1026","셰익스피어","셰익스피어"
"1027","서점에서","서점에서"
"1028","에코백 사다 줬잖아.","에코백 사다 줬잖아."
"1029","내가 니한테 사오라고 했었는데","내가 니한테 사오라고 했었는데"
"1030","우리는 갔을 때 정작 거기를 못 가봤잖아 -지나- 지나쳤잖아.","우리는 갔을 때 정작 거기를 못 가봤잖아 -지나- 지나쳤잖아."
"1031","그래서 거기가 너무 궁금했어 어땠어?","그래서 거기가 너무 궁금했어 어땠어?"
"1032","음~ 거기는 인제","음~ 거기는 인제"
"1033","지도로 딱 찍고 찾아가야지","지도로 딱 찍고 찾아가야지"
"1034","라는 생각을 안 가지고 가면은 스쳐 지나갈 수도 있겠다 싶을 정도로","라는 생각을 안 가지고 가면은 스쳐 지나갈 수도 있겠다 싶을 정도로"
"1035","따른 건물들이랑 좀","다른 건물들이랑 좀"
"1036","비슷비슷하다 해야 되나?","비슷비슷하다 해야 되나?"
"1037","근데 딱 보면은 인제 아 여기가 서점이구나 해서","근데 딱 보면은 인제 아 여기가 서점이구나 해서"
"1038","어~ 아는 알 수 있을 법한 그런 외관이었고","어~ 아는 알 수 있을 법한 그런 외관이었고"
"1039","안에 들어가서는 인제 어 생각보다는 쫌 더 크네라는","안에 들어가서는 인제 어 생각보다는 조금 더 크네라는"
"1040","생각을 가지게 됐던 것 같애.","생각을 가지게 됐던 것 같애."
"1041","그래서 인제","그래서 인제"
"1042","거기 안에 구경하면서 책을 한 권 사볼까도 했는데","거기 안에 구경하면서 책을 한 권 사볼까도 했는데"
"1043","돌아올 때는 무거울 것 같애서","돌아올 때는 무거울 것 같애서"
"1044","그건 포기했고","그건 포기했고"
"1045","나는 이 에코백이 어디 인제","나는 이 에코백이 어디 인제"
"1046","약간 행거 같은 데 걸려 있을 줄 알았단 말이야?","약간 행거 같은 데 걸려 있을 줄 알았단 말이야?"
"1047","그게 에코백이 한 종류가 아니었고 쫌 더 큰 것도 있고","그게 에코백이 한 종류가 아니었고 조금 더 큰 것도 있고"
"1048","작은 것도 있고 이렇다고 하는 얘기를 들었어서?","작은 것도 있고 이렇다고 하는 얘기를 들었어서?"
"1049","근데 암만 찾아도 없는 거야.","근데 아무리 찾아도 없는 거야."
"1050","그래서 결국에 인제 마지막에 점원","그래서 결국에 인제 마지막에 점원"
"1051","거기 인제 캐셔?","거기 인제 캐셔?"
"1052","한테 가가지고 에코백은 어디 있냐니까 본인 뒤에 인제","한테 가가지고 에코백은 어디 있냐니까 본인 뒤에 인제"
"1053","여기 있지 이라믄서","여기 있지 이러면서"
"1054","가격이랑 알려주시고","가격이랑 알려주시고"
"1055","그래서 인제 샀는데 그때 아마 가격이 한 칠 팔 유로 정도 됐던 것 같애 하나에","그래서 인제 샀는데 그때 아마 가격이 한 칠 팔 유로 정도 됐던 것 같애 하나에"
"1056","근데 막상 살려고 보니까","근데 막상 살려고 보니까"
"1057","천도 너무 얇고","천도 너무 얇고"
"1058","프린팅도 그냥 진짜 이거 뭐 대충 찍은 느낌?","프린팅도 그냥 진짜 이거 뭐 대충 찍은 느낌?"
"1059","그래서 아 이거 하나에","그래서 아 이거 하나에"
"1060","거진 한 그때 환율로 따지면 한 만 원 정도 됐던 것 같으니깐?","거의 한 그때 환율로 따지면 한 만 원 정도 됐던 것 같으니깐?"
"1061","쫌 음~","조금 음~"
"1062","비싼 감이 없지 않아 있는 것 같은데 싶었는데 그거를 되게 오래 썼던 것 같애.","비싼 감이 없지 않아 있는 것 같은데 싶었는데 그거를 되게 오래 썼던 것 같애."
"1063","그지?","그렇지?"
"1064","나도 그거를 인제 진짜 무거운 것도 막 넣고 이래가지고","나도 그거를 인제 진짜 무거운 것도 막 넣고 이래가지고"
"1065","거진 인제 끈이 찢어져가지고 그때 버리","거의 인제 끈이 찢어져가지고 그때 버리"
"1066","벌 버려야 될 정도까지?","벌 버려야 될 정도까지?"
"1067","쓰고 인제 버렸는데","쓰고 인제 버렸는데"
"1068","그게 벌써 몇 년이야 한 그래도 한 오 년 넘게 썼던 것 같은데?","그게 벌써 몇 년이야 한 그래도 한 오 년 넘게 썼던 것 같은데?"
"1069","니는 아직 있지 아마?","니는 아직 있지 아마?"
"1070","게서","그래서"
"1071","다시 가면 하나 더 살 것 같은데 근데 요즘 또","다시 가면 하나 더 살 것 같은데 근데 요즘 또"
"1072","프린팅도 바뀌고 천도 바꼈다고 하더라고?","프린팅도 바뀌고 천도 바뀌었다고 하더라고?"
"1073","(()) 한번 다시 보고 사야 될 것 같애. {laughing}","(()) 한번 다시 보고 사야 될 것 같애. {laughing}"
"1074","왜 되게 생각보다 괜찮았던 쇼핑?","왜 되게 생각보다 괜찮았던 쇼핑?"
"1075","서점?","서점?"
"1076","이었던 것 같애.","이었던 것 같애."
"1077","어~ 휴양지 여행을 한번 가보고 싶다 했는데","어~ 휴양지 여행을 한번 가보고 싶다 했는데"
"1078","그런 데 가가지고 인제 휴양지에도 여러 가지 할 수 있는 게 다양하잖아 나라별로?","그런 데 가가지고 인제 휴양지에도 여러 가지 할 수 있는 게 다양하잖아 나라별로?"
"1079","뭐","뭐"
"1080","마사지 같은 것도 있고?","마사지 같은 것도 있고?"
"1081","뭐 -해- 해양 스포츠 같은 것도 있고?","뭐 -해- 해양 스포츠 같은 것도 있고?"
"1082","-혹- 혹시 어떤 거 하고 싶은 거 있어?","-혹- 혹시 어떤 거 하고 싶은 거 있어?"
"1083","그냥 가면은","그냥 가면은"
"1084","뭐","뭐"
"1085","진짜 쉼만을 위해서 가는 사람들이","진짜 쉼만을 위해서 가는 사람들이"
"1086","진짜 약간 호캉스 그냥 호텔에 요새 뭐 이렇게","진짜 약간 호캉스 그냥 호텔에 요새 뭐 이렇게"
"1087","수영장도 다 딸려있고 하니까 쉬기만 하는 사람도 있잖아.","수영장도 다 딸려있고 하니까 쉬기만 하는 사람도 있잖아."
"1088","근데 나는 약간 성향이","근데 나는 약간 성향이"
"1089","쉬러 약간 여행하러 쉬러 갔지만","쉬러 약간 여행하러 쉬러 갔지만"
"1090","그런 게 아니라서 음~","그런 게 아니라서 음~"
"1091","해양 스포츠 그런 거 스노클링하고","해양 스포츠 그런 거 스노클링하고"
"1092","막 보트 많이 타잖아.","막 보트 많이 타잖아."
"1093","그런 거","그런 거"
"1094","많이 하고 싶고 또","많이 하고 싶고 또"
"1095","아~ 근데 트래킹 이런 거는 쫌","아~ 근데 트래킹 이런 거는 조금"
"1096","너무","너무"
"1097","덥고 막 더운 게 너무 싫어서 힘들 것 같아서 싫고 해양 스포츠나","덥고 막 더운 게 너무 싫어서 힘들 것 같아서 싫고 해양 스포츠나"
"1098","마사지 (()) 낮에는 계속 해양 스포츠하고 저녁에는 마사지 받고","마사지 (()) 낮에는 계속 해양 스포츠하고 저녁에는 마사지 받고"
"1099","그렇게 하면","그렇게 하면"
"1100","뭔가 쉬다 오는 거 아닐까 왜냐하면 그전에","뭔가 쉬다 오는 거 아닐까 왜냐하면 그전에"
"1101","따른 데","다른 데"
"1102","주로 도시 쪽 가고 이러면은 항상 계속 걸어서 구경 다니고 버스 타고 지하철 타고 뭐","주로 도시 쪽 가고 이러면은 항상 계속 걸어서 구경 다니고 버스 타고 지하철 타고 뭐"
"1103","관광지 꼭 가서","관광지 꼭 가서"
"1104","뭐 사진 찍고 구경하고 쇼핑몰 항상 구경하고 그랬으니까","뭐 사진 찍고 구경하고 쇼핑몰 항상 구경하고 그랬으니까"
